Starowiślna;5:28:50
Poczta Główna;5:29:50
Dworzec Główny;5:32:32
Lubicz;5:34:42
Rondo Mogilskie;5:38:1
Cystersów;5:40:29
;
05:20 - 19 (Borek Fałęcki - Dworzec Towarowy);
Świętego Wawrzyńca;5:20:33
Miodowa;5:21:48
Starowiślna;5:24:45
Hala Targowa;5:25:46
Rondo Grzegórzeckie;5:29:44
Rondo Mogilskie;5:33:28
Dworzec Główny Tunel;5:36:23
Politechnika;5:37:51
Dworzec Towarowy;5:40:37
;
05:21 - 14 (Mistrzejowice - Bronowice);
Francesco Nullo;5:21:1
Teatr Variete;5:22:24
Rondo Grzegórzeckie;5:24:10
Rondo Mogilskie;5:26:52
Lubicz;5:29:10
Dworzec Główny;5:31:18
Basztowa LOT;5:33:22
Teatr Bagatela;5:35:47
Batorego;5:37:50
Plac Inwalidów;5:38:58
Urzędnicza;5:40:54
;
05:26 - 13 (Bronowice Małe - Nowy Bieżanów);
Urzędnicza;5:26:1
Plac Inwalidów;5:27:53
Batorego;5:29:13
Teatr Bagatela;5:30:47
Filharmonia;5:33:32
Plac Wszystkich Świętych;5:35:13
Świętej Gertrudy;5:36:46
Wawel;5:38:23
;
05:25 - 8 (Borek Fałęcki - Bronowice Małe);
Plac Wolnica;5:25:1
Stradom;5:26:13
Wawel;5:28:23
Świętej Gertrudy;5:30:2
Plac Wszystkich Świętych;5:32:44
Filharmonia;5:33:58
Teatr Bagatela;5:36:33
Batorego;5:39:13
Plac Inwalidów;5:40:20
;
05:37 - 49 (TAURON Arena Kraków Wieczysta - Nowy Bieżanów);
Rondo Grzegórzeckie;5:37:17
Rondo Mogilskie;5:40:31
;
05:24 - 9 (Mistrzejowice - Nowy Bieżanów);
Cystersów;5:24:1
Rondo Mogilskie;5:27:10
Rondo Grzegórzeckie;5:31:20
Hala Targowa;5:33:36
Starowiślna;5:40:24
Miodowa;5:43:43
;
05:28 - 24 (Kurdwanów - Bronowice);
Świętego Wawrzyńca;5:28:1
Miodowa;5:29:8
Starowiślna;5:31:23
Poczta Główna;5:32:24
Dworzec Główny;5:34:50
Basztowa LOT;5:36:55
Teatr Bagatela;5:39:19
Batorego;5:41:23
Plac Inwalidów;5:42:31
;
05:37 - 3 (Krowodrza Górka - Nowy Bieżanów);
Dworzec Towarowy;5:37:1
Politechnika;5:39:44
Dworzec Główny Zachód;5:41:2
Dworzec Główny;5:42:8
Poczta Główna;5:44:46
;
05:24 - 22 (Kopiec Wandy - Borek Fałęcki);
Francesco Nullo;5:24:1
Teatr Variete;5:25:25
Rondo Grzegórzeckie;5:27:40
Hala Targowa;5:29:57
Starowiślna;5:31:0
Stradom;5:41:19
Orzeszkowej;5:42:51
Centrum Kongresowe ICE;5:44:50
;
05:20 - 52 (Os.Piastów - Czerwone Maki);
Cystersów;5:20:1
Rondo Mogilskie;5:22:16
Lubicz;5:24:46
Dworzec Główny;5:26:49
Poczta Główna;5:29:44
Stradom;5:42:49
Orzeszkowej;5:44:21
Centrum Kongresowe ICE;5:46:20
;
05:31 - 24 (Bronowice - Kurdwanów);
Urzędnicza;5:31:1
Plac Inwalidów;5:32:54
Batorego;5:34:13
Teatr Bagatela;5:35:50
Basztowa LOT;5:38:37
Dworzec Główny;5:40:31
Poczta Główna;5:43:25
Miodowa;5:47:42
;
05:28 - 19 (Dworzec Towarowy - Borek Fałęcki);
Dworzec Towarowy;5:28:1
Politechnika;5:31:34
Dworzec Główny Tunel;5:33:5
Rondo Mogilskie;5:36:42
Rondo Grzegórzeckie;5:40:26
Hala Targowa;5:42:43
Starowiślna;5:45:10
Miodowa;5:48:36
;
05:33 - 8 (Borek Fałęcki - Bronowice Małe);
Plac Wolnica;5:33:30
Stradom;5:34:41
Wawel;5:36:54
Świętej Gertrudy;5:38:31
Plac Wszystkich Świętych;5:39:55
Filharmonia;5:41:9
