Poczta Główna;9:15:3
;
09:01 - 4 (Bronowice Małe - Wzgórza Krzesławickie);
Urzędnicza;9:1:1
Plac Inwalidów;9:2:37
Batorego;9:3:48
Teatr Bagatela;9:5:12
Basztowa LOT;9:7:9
Dworzec Główny;9:9:1
Lubicz;9:11:0
Rondo Mogilskie;9:13:43
;
09:04 - 1 (Wzgórza Krzesławickie - Salwator);
Francesco Nullo;9:4:1
Teatr Variete;9:5:14
Rondo Grzegórzeckie;9:6:54
Hala Targowa;9:8:52
Starowiślna;9:9:50
Poczta Główna;9:11:27
Plac Wszystkich Świętych;9:13:18
Filharmonia;9:14:26
Jubilat;9:16:7
;
09:03 - 8 (Borek Fałęcki - Bronowice Małe);
Plac Wolnica;9:3:1
Stradom;9:4:6
Wawel;9:5:56
Świętej Gertrudy;9:7:21
Plac Wszystkich Świętych;9:8:36
Filharmonia;9:9:44
Teatr Bagatela;9:11:49
Batorego;9:13:39
Plac Inwalidów;9:14:39
Urzędnicza;9:16:14
;
09:09 - 3 (Nowy Bieżanów - Krowodrza Górka);
Poczta Główna;9:9:1
Dworzec Główny;9:11:11
Dworzec Główny Zachód;9:12:54
Politechnika;9:14:8
Dworzec Towarowy;9:16:17
;
09:00 - 14 (Mistrzejowice - Bronowice);
Francesco Nullo;9:0:1
Teatr Variete;9:1:14
Rondo Grzegórzeckie;9:2:42
Rondo Mogilskie;9:4:55
Lubicz;9:7:3
Dworzec Główny;9:8:45
Basztowa LOT;9:10:29
Teatr Bagatela;9:12:40
Batorego;9:14:22
Plac Inwalidów;9:15:21
Urzędnicza;9:16:55
;
09:04 - 9 (Nowy Bieżanów - Mistrzejowice);
Świętego Wawrzyńca;9:4:1
Miodowa;9:4:58
Starowiślna;9:7:35
Hala Targowa;9:8:30
Rondo Grzegórzeckie;9:12:5
Rondo Mogilskie;9:15:5
;
09:03 - 8 (Bronowice Małe - Borek Fałęcki);
Urzędnicza;9:3:1
Plac Inwalidów;9:4:38
Batorego;9:5:48
Teatr Bagatela;9:7:13
Filharmonia;9:9:35
Plac Wszystkich Świętych;9:11:26
Świętej Gertrudy;9:13:14
Wawel;9:14:42
Stradom;9:15:39
Plac Wolnica;9:18:25
;
09:06 - 1 (Salwator - Wzgórza Krzesławickie);
Jubilat;9:6:1
Filharmonia;9:7:47
Plac Wszystkich Świętych;9:9:13
Poczta Główna;9:10:43
Starowiślna;9:13:18
Hala Targowa;9:14:15
Rondo Grzegórzeckie;9:17:20
Teatr Variete;9:18:3
;
09:03 - 52 (Os.Piastów - Czerwone Maki);
Cystersów;9:3:1
Rondo Mogilskie;9:4:59
Lubicz;9:7:37
Dworzec Główny;9:9:23
Poczta Główna;9:11:46
Stradom;9:15:36
Orzeszkowej;9:17:38
;
09:08 - 22 (Kopiec Wandy - Borek Fałęcki);
Francesco Nullo;9:8:1
Teatr Variete;9:9:16
Rondo Grzegórzeckie;9:11:5
Hala Targowa;9:13:2
Starowiślna;9:14:0
Stradom;9:16:52
Orzeszkowej;9:18:24
Centrum Kongresowe ICE;9:20:5
;
09:05 - 10 (Pleszów - Kurdwanów);
Cystersów;9:5:1
Rondo Mogilskie;9:7:1
Lubicz;9:9:12
Dworzec Główny;9:10:55
Poczta Główna;9:13:3
Świętej Gertrudy;9:14:38
Wawel;9:16:3
Stradom;9:18:9
Plac Wolnica;9:20:8
;
09:03 - 18 (Czerwone Maki - Krowodrza Górka);
Centrum Kongresowe ICE;9:3:15
Orzeszkowej;9:4:51
Stradom;9:5:49
Wawel;9:7:21
Świętej Gertrudy;9:8:46
Plac Wszystkich Świętych;9:10:0
Filharmonia;9:11:2
Teatr Bagatela;9:13:26
Basztowa LOT;9:15:29
Pędzichów;9:17:1
Nowy Kleparz;9:18:27
Dworzec Towarowy;9:20:9
;
09:02 - 18 (Krowodrza Górka - Czerwone Maki);
Dworzec Towarowy;9:2:1
Nowy Kleparz;9:3:4
Pędzichów;9:4:33
Basztowa LOT;9:5:42
Teatr Bagatela;9:7:39
Filharmonia;9:10:36
Plac Wszystkich Świętych;9:12:2
Świętej Gertrudy;9:14:10
Wawel;9:15:33
Orzeszkowej;9:18:51
Centrum Kongresowe ICE;9:20:29
;
09:07 - 24 (Bronowice - Kurdwanów);
Urzędnicza;9:7:1
Plac Inwalidów;9:8:40
Batorego;9:9:51
Teatr Bagatela;9:11:13
Basztowa LOT;9:13:11
Dworzec Główny;9:14:52
Poczta Główna;9:17:33
Starowiślna;9:19:18
Miodowa;9:20:47
;
09:06 - 52 (Czerwone Maki - Os.Piastów);
Centrum Kongresowe ICE;9:6:1
Orzeszkowej;9:7:40
Stradom;9:8:36
Starowiślna;9:11:37
Poczta Główna;9:12:35
Dworzec Główny;9:14:38
Lubicz;9:16:44
Rondo Mogilskie;9:19:18
Cystersów;9:21:26
;
09:05 - 19 (Borek Fałęcki - Dworzec Towarowy);
Świętego Wawrzyńca;9:5:1
Miodowa;9:6:1
Starowiślna;9:8:8
Hala Targowa;9:9:2
Rondo Grzegórzeckie;9:13:4
Rondo Mogilskie;9:16:0
Dworzec Główny Tunel;9:18:24
Politechnika;9:19:41
Dworzec Towarowy;9:22:5
;
09:12 - 2 (Cmentarz Rakowicki - Salwator);
Lubicz;9:12:1
Dworzec Główny;9:13:49
Basztowa LOT;9:15:40
Teatr Bagatela;9:17:48
Filharmonia;9:20:13
Jubilat;9:22:6
;
09:08 - 10 (Kurdwanów - Pleszów);
Plac Wolnica;9:8:1
Stradom;9:9:6
Wawel;9:10:56
Poczta Główna;9:13:38
Dworzec Główny;9:15:41
Lubicz;9:17:32
Rondo Mogilskie;9:20:11
Cystersów;9:22:19
;
09:05 - 14 (Bronowice - Mistrzejowice);
Urzędnicza;9:5:1
Plac Inwalidów;9:6:40
Batorego;9:7:50
Teatr Bagatela;9:9:15
Basztowa LOT;9:11:25
Dworzec Główny;9:13:6
Lubicz;9:15:15
Rondo Mogilskie;9:17:54
Rondo Grzegórzeckie;9:20:59
Teatr Variete;9:21:42
Francesco Nullo;9:22:38
;
09:08 - 4 (Wzgórza Krzesławickie  - Bronowice Małe);
Cystersów;9:8:1
Rondo Mogilskie;9:10:3
Lubicz;9:12:11
Dworzec Główny;9:14:31
Basztowa LOT;9:16:23
Teatr Bagatela;9:18:23
Batorego;9:20:15
Plac Inwalidów;9:21:16
Urzędnicza;9:22:53
;
09:16 - 3 (Krowodrza Górka - Nowy Bieżanów);
Dworzec Towarowy;9:16:1
Politechnika;9:18:32
Dworzec Główny Zachód;9:19:39
Dworzec Główny;9:20:41
Poczta Główna;9:23:3
;
09:10 - 8 (Borek Fałęcki - Bronowice Małe);
Plac Wolnica;9:10:1
Stradom;9:11:3
Wawel;9:12:54
Świętej Gertrudy;9:14:20
Plac Wszystkich Świętych;9:15:33
Filharmonia;9:16:40
Teatr Bagatela;9:18:46
Batorego;9:20:42
Plac Inwalidów;9:21:44
Urzędnicza;9:23:22
;
09:12 - 1 (Wzgórza Krzesławickie - Salwator);
Francesco Nullo;9:12:4
Teatr Variete;9:13:17
Rondo Grzegórzeckie;9:14:58
Hala Targowa;9:16:54
Starowiślna;9:17:50
Poczta Główna;9:19:29
Plac Wszystkich Świętych;9:21:20
Filharmonia;9:22:27
Jubilat;9:24:10
;
09:13 - 9 (Mistrzejowice - Nowy Bieżanów);
Cystersów;9:13:1
Rondo Mogilskie;9:15:48
Rondo Grzegórzeckie;9:19:12
Hala Targowa;9:21:9
Starowiślna;9:22:7
Miodowa;9:24:18
;
09:11 - 8 (Bronowice Małe - Borek Fałęcki);
Urzędnicza;9:11:1
Plac Inwalidów;9:12:41
Batorego;9:13:51
Teatr Bagatela;9:15:14
Filharmonia;9:17:33
Plac Wszystkich Świętych;9:19:1
Świętej Gertrudy;9:20:31
Wawel;9:21:56
Stradom;9:22:57
Plac Wolnica;9:24:32
;
09:17 - 3 (Nowy Bieżanów - Krowodrza Górka);
Poczta Główna;9:17:29
Dworzec Główny;9:19:38
Dworzec Główny Zachód;9:21:15
Politechnika;9:22:29
Dworzec Towarowy;9:24:40
;
09:19 - 49 (Nowy Bieżanów - TAURON Arena Kraków Wieczysta);
Cystersów;9:19:1
Rondo Mogilskie;9:21:50
Rondo Grzegórzeckie;9:24:56
;
09:11 - 52 (Os.Piastów - Czerwone Maki);
Cystersów;9:11:1
Rondo Mogilskie;9:13:1
Lubicz;9:15:13
Dworzec Główny;9:16:57
Poczta Główna;9:19:1
Starowiślna;9:20:36
Stradom;9:23:5
Orzeszkowej;9:24:38
;
09:17 - 2 (Salwator - Cmentarz Rakowicki);
Jubilat;9:17:1
Filharmonia;9:18:44
Teatr Bagatela;9:20:59
Basztowa LOT;9:23:20
Dworzec Główny;9:24:58
Lubicz;9:26:34
;
09:10 - 18 (Krowodrza Górka - Czerwone Maki);
Dworzec Towarowy;9:10:1
Nowy Kleparz;9:11:1
Pędzichów;9:12:32
Basztowa LOT;9:13:42
Teatr Bagatela;9:15:35
Filharmonia;9:18:11
Plac Wszystkich Świętych;9:19:45
Świętej Gertrudy;9:21:21
Wawel;9:22:48
Stradom;9:23:47
Orzeszkowej;9:25:34
Centrum Kongresowe ICE;9:27:12
;
09:14 - 13 (Nowy Bieżanów - Bronowice Małe);
Plac Wolnica;9:14:1
Stradom;9:15:5
Wawel;9:16:54
Świętej Gertrudy;9:18:17
Plac Wszystkich Świętych;9:19:32
Filharmonia;9:20:39
Teatr Bagatela;9:22:52
Batorego;9:24:39
Plac Inwalidów;9:25:38
Urzędnicza;9:27:14
;
09:10 - 18 (Czerwone Maki - Krowodrza Górka);
Centrum Kongresowe ICE;9:10:1
Orzeszkowej;9:11:36
Stradom;9:12:35
Wawel;9:14:6
Świętej Gertrudy;9:15:29
Plac Wszystkich Świętych;9:16:43
Filharmonia;9:17:47
Teatr Bagatela;9:20:16
Basztowa LOT;9:22:45
Pędzichów;9:24:18
Nowy Kleparz;9:25:43
Dworzec Towarowy;9:27:24
;
09:13 - 24 (Kurdwanów - Bronowice);
Świętego Wawrzyńca;9:13:1
Miodowa;9:14:1
Starowiślna;9:16:9
Poczta Główna;9:17:5
Dworzec Główny;9:19:6
Basztowa LOT;9:20:50
Teatr Bagatela;9:23:9
Batorego;9:25:12
Plac Inwalidów;9:26:12
Urzędnicza;9:27:52
;
09:14 - 13 (Bronowice Małe - Nowy Bieżanów);
Urzędnicza;9:14:1
Plac Inwalidów;9:15:37
Batorego;9:16:47
Teatr Bagatela;9:18:10
Filharmonia;9:20:52
Plac Wszystkich Świętych;9:22:34
Świętej Gertrudy;9:23:58
Wawel;9:25:23
Plac Wolnica;9:27:53
;
09:13 - 52 (Czerwone Maki - Os.Piastów);
Centrum Kongresowe ICE;9:13:1
Orzeszkowej;9:14:40
Stradom;9:15:35
Starowiślna;9:19:18
Poczta Główna;9:20:15
Dworzec Główny;9:22:18
Lubicz;9:23:58
Rondo Mogilskie;9:26:32
Cystersów;9:28:39
;
09:23 - 3 (Krowodrza Górka - Nowy Bieżanów);
Dworzec Towarowy;9:23:1
Politechnika;9:25:33
Dworzec Główny Zachód;9:26:40
Dworzec Główny;9:27:41
Poczta Główna;9:30:18
;
09:16 - 4 (Bronowice Małe - Wzgórza Krzesławickie);
Urzędnicza;9:16:1
Plac Inwalidów;9:17:40
Batorego;9:18:47
Teatr Bagatela;9:20:13
Basztowa LOT;9:22:10
Dworzec Główny;9:23:51
Lubicz;9:25:34
Rondo Mogilskie;9:28:14
;
09:15 - 22 (Borek Fałęcki - Kopiec Wandy);
Centrum Kongresowe ICE;9:15:1
Orzeszkowej;9:16:40
Stradom;9:17:36
Starowiślna;9:21:17
Hala Targowa;9:22:14
Rondo Grzegórzeckie;9:28:47
Teatr Variete;9:29:30
;
09:13 - 1 (Salwator - Wzgórza Krzesławickie);
Jubilat;9:13:1
Filharmonia;9:14:47
Plac Wszystkich Świętych;9:16:11
Poczta Główna;9:17:41
Starowiślna;9:20:51
Hala Targowa;9:21:46
Rondo Grzegórzeckie;9:29:14
Teatr Variete;9:29:59
Francesco Nullo;9:30:57
;
09:18 - 8 (Borek Fałęcki - Bronowice Małe);
Plac Wolnica;9:18:1
Stradom;9:19:5
Wawel;9:20:56
Świętej Gertrudy;9:22:21
Plac Wszystkich Świętych;9:23:37
Filharmonia;9:24:44
Teatr Bagatela;9:26:49
Batorego;9:28:36
Plac Inwalidów;9:29:36
Urzędnicza;9:31:13
;
09:24 - 3 (Nowy Bieżanów - Krowodrza Górka);
Poczta Główna;9:24:1
Dworzec Główny;9:26:11
Dworzec Główny Zachód;9:28:4
Politechnika;9:29:15
Dworzec Towarowy;9:31:24
;
09:19 - 1 (Wzgórza Krzesławickie - Salwator);
Francesco Nullo;9:19:5
Teatr Variete;9:20:20
Rondo Grzegórzeckie;9:21:59
Hala Targowa;9:23:57
Starowiślna;9:24:55
Poczta Główna;9:26:33
Plac Wszystkich Świętych;9:28:41
Filharmonia;9:29:44
Jubilat;9:31:28
;
09:18 - 8 (Bronowice Małe - Borek Fałęcki);
Urzędnicza;9:18:1
Plac Inwalidów;9:19:38
Batorego;9:20:49
Teatr Bagatela;9:22:13
Filharmonia;9:24:34
Plac Wszystkich Świętych;9:26:26
Świętej Gertrudy;9:27:56
Wawel;9:29:20
Stradom;9:30:17
Plac Wolnica;9:31:55
;
09:15 - 14 (Mistrzejowice - Bronowice);
Francesco Nullo;9:15:1
Teatr Variete;9:16:16
Rondo Grzegórzeckie;9:17:56
Rondo Mogilskie;9:20:7
Lubicz;9:22:11
Dworzec Główny;9:23:52
Basztowa LOT;9:25:59
Teatr Bagatela;9:28:26
Batorego;9:30:5
Plac Inwalidów;9:31:5
Urzędnicza;9:32:39
;
09:20 - 10 (Pleszów - Kurdwanów);
Cystersów;9:20:1
Rondo Mogilskie;9:22:1
Lubicz;9:24:13
Dworzec Główny;9:26:4
Poczta Główna;9:28:13
Świętej Gertrudy;9:29:35
Wawel;9:31:1
Stradom;9:32:13
Plac Wolnica;9:33:44
;
09:18 - 52 (Os.Piastów - Czerwone Maki);
Cystersów;9:18:1
Rondo Mogilskie;9:19:58
Lubicz;9:22:44
Dworzec Główny;9:24:51
Poczta Główna;9:27:21
Starowiślna;9:28:53
Stradom;9:30:49
Orzeszkowej;9:32:18
Centrum Kongresowe ICE;9:33:59
;
09:17 - 18 (Krowodrza Górka - Czerwone Maki);
Dworzec Towarowy;9:17:1
Nowy Kleparz;9:18:2
Pędzichów;9:19:31
Basztowa LOT;9:20:40
Teatr Bagatela;9:22:36
Filharmonia;9:25:35
Plac Wszystkich Świętych;9:27:4
Świętej Gertrudy;9:29:0
Wawel;9:30:23
Orzeszkowej;9:32:53
Centrum Kongresowe ICE;9:34:31
;
09:18 - 18 (Czerwone Maki - Krowodrza Górka);
Centrum Kongresowe ICE;9:18:1
Orzeszkowej;9:19:38
Stradom;9:20:36
Wawel;9:22:7
Świętej Gertrudy;9:23:33
Plac Wszystkich Świętych;9:24:50
Filharmonia;9:25:52
Teatr Bagatela;9:28:18
Basztowa LOT;9:30:21
Pędzichów;9:31:53
Nowy Kleparz;9:33:20
Dworzec Towarowy;9:35:2
;
09:22 - 24 (Bronowice - Kurdwanów);
Urzędnicza;9:22:1
Plac Inwalidów;9:23:42
Batorego;9:24:52
Teatr Bagatela;9:26:14
Basztowa LOT;9:28:13
Dworzec Główny;9:29:50
Poczta Główna;9:32:1
Starowiślna;9:33:50
Miodowa;9:35:47
;
09:19 - 9 (Nowy Bieżanów - Mistrzejowice);
Świętego Wawrzyńca;9:19:1
Miodowa;9:19:59
Starowiślna;9:22:26
Hala Targowa;9:23:23
Rondo Grzegórzeckie;9:30:52
Rondo Mogilskie;9:33:49
;
09:21 - 52 (Czerwone Maki - Os.Piastów);
Centrum Kongresowe ICE;9:21:1
Orzeszkowej;9:22:40
Stradom;9:23:37
Starowiślna;9:26:54
Poczta Główna;9:27:50
Dworzec Główny;9:29:51
Lubicz;9:32:4
Rondo Mogilskie;9:34:38
Cystersów;9:36:44
;
09:27 - 2 (Cmentarz Rakowicki - Salwator);
Lubicz;9:27:1
Dworzec Główny;9:28:48
Basztowa LOT;9:30:32
Teatr Bagatela;9:32:41
Filharmonia;9:34:58
;
09:21 - 1 (Salwator - Wzgórza Krzesławickie);
Jubilat;9:21:1
Filharmonia;9:22:47
Plac Wszystkich Świętych;9:24:14
Poczta Główna;9:25:44
Starowiślna;9:27:56
Hala Targowa;9:28:50
Rondo Grzegórzeckie;9:35:10
Teatr Variete;9:35:53
Francesco Nullo;9:36:51
;
09:23 - 10 (Kurdwanów - Pleszów);
Plac Wolnica;9:23:1
Stradom;9:24:5
Wawel;9:26:1
Poczta Główna;9:28:34
Dworzec Główny;9:30:56
Lubicz;9:32:54
Rondo Mogilskie;9:35:19
Cystersów;9:37:24
;
09:23 - 4 (Wzgórza Krzesławickie  - Bronowice Małe);
Cystersów;9:23:1
Rondo Mogilskie;9:25:2
Lubicz;9:27:8
Dworzec Główny;9:29:22
Basztowa LOT;9:31:15
Teatr Bagatela;9:33:14
Batorego;9:35:12
Plac Inwalidów;9:36:13
Urzędnicza;9:37:49
;
09:31 - 3 (Krowodrza Górka - Nowy Bieżanów);
Dworzec Towarowy;9:31:1
Politechnika;9:33:31
Dworzec Główny Zachód;9:34:39
Dworzec Główny;9:35:38
Poczta Główna;9:38:0
;
09:23 - 22 (Kopiec Wandy - Borek Fałęcki);
Francesco Nullo;9:23:1
Teatr Variete;9:24:15
Rondo Grzegórzeckie;9:30:3
Hala Targowa;9:32:1
Starowiślna;9:32:56
Stradom;9:35:11
Orzeszkowej;9:36:27
;
09:25 - 8 (Borek Fałęcki - Bronowice Małe);
Plac Wolnica;9:25:1
Stradom;9:26:3
Wawel;9:27:55
Świętej Gertrudy;9:29:17
Plac Wszystkich Świętych;9:30:32
Filharmonia;9:31:39
Teatr Bagatela;9:33:45
Batorego;9:35:38
Plac Inwalidów;9:36:41
Urzędnicza;9:38:21
;
09:20 - 14 (Bronowice - Mistrzejowice);
Urzędnicza;9:20:1
Plac Inwalidów;9:21:41
Batorego;9:22:51
Teatr Bagatela;9:24:16
Basztowa LOT;9:26:12
Dworzec Główny;9:27:55
Lubicz;9:29:36
Rondo Mogilskie;9:32:13
Rondo Grzegórzeckie;9:37:13
Teatr Variete;9:37:56
;
09:26 - 8 (Bronowice Małe - Borek Fałęcki);
Urzędnicza;9:26:1
Plac Inwalidów;9:27:40
Batorego;9:28:49
Teatr Bagatela;9:30:10
Filharmonia;9:32:31
Plac Wszystkich Świętych;9:34:1
Świętej Gertrudy;9:35:27
Wawel;9:36:54
Stradom;9:37:53
Plac Wolnica;9:39:30
;
09:32 - 3 (Nowy Bieżanów - Krowodrza Górka);
Poczta Główna;9:32:26
Dworzec Główny;9:34:45
Dworzec Główny Zachód;9:36:20
Politechnika;9:37:34
Dworzec Towarowy;9:39:44
;
09:28 - 9 (Mistrzejowice - Nowy Bieżanów);
Cystersów;9:28:1
Rondo Mogilskie;9:30:46
Rondo Grzegórzeckie;9:36:8
Hala Targowa;9:38:4
Starowiślna;9:39:2
Miodowa;9:40:48
;
09:25 - 18 (Krowodrza Górka - Czerwone Maki);
Dworzec Towarowy;9:25:1
Nowy Kleparz;9:26:1
Pędzichów;9:27:32
Basztowa LOT;9:28:40
Teatr Bagatela;9:30:34
Filharmonia;9:33:10
Plac Wszystkich Świętych;9:34:44
Świętej Gertrudy;9:36:5
Wawel;9:37:31
Stradom;9:38:33
Orzeszkowej;9:39:38
Centrum Kongresowe ICE;9:41:16
;
09:30 - 22 (Borek Fałęcki - Kopiec Wandy);
Centrum Kongresowe ICE;9:30:1
Orzeszkowej;9:31:42
Stradom;9:32:37
Starowiślna;9:35:37
Hala Targowa;9:36:33
Rondo Grzegórzeckie;9:39:42
Teatr Variete;9:40:25
;
09:32 - 2 (Salwator - Cmentarz Rakowicki);
Jubilat;9:32:1
Filharmonia;9:33:43
Teatr Bagatela;9:35:55
Basztowa LOT;9:38:19
Dworzec Główny;9:39:58
Lubicz;9:41:34
;
09:20 - 19 (Borek Fałęcki - Dworzec Towarowy);
Świętego Wawrzyńca;9:20:1
Miodowa;9:21:2
Starowiślna;9:23:9
Hala Targowa;9:24:3
Rondo Grzegórzeckie;9:33:2
Rondo Mogilskie;9:35:43
Dworzec Główny Tunel;9:38:4
Politechnika;9:39:21
Dworzec Towarowy;9:41:39
;
09:26 - 52 (Os.Piastów - Czerwone Maki);
Cystersów;9:26:1
Rondo Mogilskie;9:28:2
Lubicz;9:30:7
Dworzec Główny;9:31:53
Poczta Główna;9:33:58
Starowiślna;9:35:40
Stradom;9:38:24
Orzeszkowej;9:40:24
Centrum Kongresowe ICE;9:42:4
;
09:28 - 1 (Salwator - Wzgórza Krzesławickie);
Jubilat;9:28:1
Filharmonia;9:29:43
Plac Wszystkich Świętych;9:31:33
Poczta Główna;9:33:2
Starowiślna;9:36:6
Hala Targowa;9:37:3
Rondo Grzegórzeckie;9:40:21
Teatr Variete;9:41:4
;
09:27 - 1 (Wzgórza Krzesławickie - Salwator);
Francesco Nullo;9:27:1
Teatr Variete;9:28:17
Rondo Grzegórzeckie;9:32:12
Hala Targowa;9:34:6
Starowiślna;9:35:1
Poczta Główna;9:37:17
Plac Wszystkich Świętych;9:39:23
Filharmonia;9:40:26
Jubilat;9:42:16
;
09:25 - 18 (Czerwone Maki - Krowodrza Górka);
Centrum Kongresowe ICE;9:25:1
Orzeszkowej;9:26:37
Stradom;9:27:34
Wawel;9:29:4
Świętej Gertrudy;9:30:27
Plac Wszystkich Świętych;9:31:42
Filharmonia;9:32:46
Teatr Bagatela;9:35:13
Basztowa LOT;9:37:42
Pędzichów;9:39:17
Nowy Kleparz;9:40:42
Dworzec Towarowy;9:42:24
;
09:29 - 13 (Bronowice Małe - Nowy Bieżanów);
Urzędnicza;9:29:1
Plac Inwalidów;9:30:38
Batorego;9:31:48
Teatr Bagatela;9:33:11
Filharmonia;9:35:37
Plac Wszystkich Świętych;9:37:9
Świętej Gertrudy;9:38:37
Wawel;9:40:2
Stradom;9:41:0
Plac Wolnica;9:42:35
;
09:28 - 24 (Kurdwanów - Bronowice);
Świętego Wawrzyńca;9:28:1
Miodowa;9:28:58
Starowiślna;9:31:6
Poczta Główna;9:32:3
Dworzec Główny;9:34:4
Basztowa LOT;9:35:44
Teatr Bagatela;9:38:6
Batorego;9:39:57
Plac Inwalidów;9:40:57
Urzędnicza;9:42:37
;
09:29 - 13 (Nowy Bieżanów - Bronowice Małe);
Plac Wolnica;9:29:1
Stradom;9:30:3
Wawel;9:32:18
Świętej Gertrudy;9:33:40
Plac Wszystkich Świętych;9:34:55
Filharmonia;9:36:1
Teatr Bagatela;9:38:19
Batorego;9:40:23
Plac Inwalidów;9:41:25
Urzędnicza;9:43:7
;
09:28 - 52 (Czerwone Maki - Os.Piastów);
Centrum Kongresowe ICE;9:28:1
Orzeszkowej;9:29:36
Stradom;9:30:33
Starowiślna;9:34:35
Poczta Główna;9:35:29
Dworzec Główny;9:37:33
Lubicz;9:39:13
Rondo Mogilskie;9:42:11
Cystersów;9:44:18
;
09:38 - 3 (Krowodrza Górka - Nowy Bieżanów);
Dworzec Towarowy;9:38:1
Politechnika;9:40:31
Dworzec Główny Zachód;9:41:41
Dworzec Główny;9:42:45
Poczta Główna;9:45:19
;
09:31 - 4 (Bronowice Małe - Wzgórza Krzesławickie);
Urzędnicza;9:31:1
Plac Inwalidów;9:32:40
Batorego;9:33:47
Teatr Bagatela;9:35:11
Basztowa LOT;9:37:8
Dworzec Główny;9:38:49
Lubicz;9:40:31
Rondo Mogilskie;9:43:16
;
09:33 - 8 (Borek Fałęcki - Bronowice Małe);
Plac Wolnica;9:33:1
Stradom;9:34:5
Wawel;9:35:53
Świętej Gertrudy;9:37:18
Plac Wszystkich Świętych;9:38:35
Filharmonia;9:39:40
Teatr Bagatela;9:41:49
Batorego;9:43:38
Plac Inwalidów;9:44:38
Urzędnicza;9:46:13
;
09:39 - 3 (Nowy Bieżanów - Krowodrza Górka);
Poczta Główna;9:39:1
Dworzec Główny;9:41:9
Dworzec Główny Zachód;9:42:58
Politechnika;9:44:9
Dworzec Towarowy;9:46:17
;
09:33 - 8 (Bronowice Małe - Borek Fałęcki);
Urzędnicza;9:33:1
Plac Inwalidów;9:34:38
Batorego;9:35:45
Teatr Bagatela;9:37:11
Filharmonia;9:39:31
Plac Wszystkich Świętych;9:41:24
Świętej Gertrudy;9:42:57
Wawel;9:44:22
Stradom;9:45:19
Plac Wolnica;9:46:55
;
09:34 - 9 (Nowy Bieżanów - Mistrzejowice);
Świętego Wawrzyńca;9:34:1
Miodowa;9:34:58
Starowiślna;9:37:44
Hala Targowa;9:38:41
Rondo Grzegórzeckie;9:41:49
Rondo Mogilskie;9:44:50
;
09:33 - 52 (Os.Piastów - Czerwone Maki);
Cystersów;9:33:1
Rondo Mogilskie;9:34:58
Lubicz;9:37:8
Dworzec Główny;9:38:52
Poczta Główna;9:41:19
Starowiślna;9:42:52
Stradom;9:44:48
Orzeszkowej;9:46:3
;
09:34 - 1 (Wzgórza Krzesławickie - Salwator);
Francesco Nullo;9:34:1
Teatr Variete;9:35:14
Rondo Grzegórzeckie;9:38:3
Hala Targowa;9:39:59
Starowiślna;9:40:54
Poczta Główna;9:43:27
Plac Wszystkich Świętych;9:45:23
Filharmonia;9:46:27
Jubilat;9:48:9
;
09:30 - 14 (Mistrzejowice - Bronowice);
Francesco Nullo;9:30:1
Teatr Variete;9:31:17
Rondo Grzegórzeckie;9:33:56
Rondo Mogilskie;9:36:8
Lubicz;9:38:10
Dworzec Główny;9:39:53
Basztowa LOT;9:42:5
Teatr Bagatela;9:44:17
Batorego;9:45:56
Plac Inwalidów;9:46:55
Urzędnicza;9:48:29
;
09:36 - 1 (Salwator - Wzgórza Krzesławickie);
Jubilat;9:36:1
Filharmonia;9:37:46
Plac Wszystkich Świętych;9:39:11
Poczta Główna;9:40:39
Starowiślna;9:42:58
Hala Targowa;9:43:52
Rondo Grzegórzeckie;9:46:54
Teatr Variete;9:47:39
;
09:35 - 10 (Pleszów - Kurdwanów);
Cystersów;9:35:1
Rondo Mogilskie;9:37:1
Lubicz;9:39:11
Dworzec Główny;9:40:55
Poczta Główna;9:43:8
Świętej Gertrudy;9:44:27
Wawel;9:45:51
Stradom;9:46:49
Plac Wolnica;9:49:11
;
09:38 - 22 (Kopiec Wandy - Borek Fałęcki);
Francesco Nullo;9:38:1
Teatr Variete;9:39:15
Rondo Grzegórzeckie;9:41:9
Hala Targowa;9:43:11
Starowiślna;9:44:5
Stradom;9:46:20
Orzeszkowej;9:48:2
;
09:32 - 18 (Krowodrza Górka - Czerwone Maki);
Dworzec Towarowy;9:32:1
Nowy Kleparz;9:33:2
Pędzichów;9:34:30
Basztowa LOT;9:35:37
Teatr Bagatela;9:37:34
Filharmonia;9:40:33
Plac Wszystkich Świętych;9:42:17
Świętej Gertrudy;9:43:45
Wawel;9:45:8
Orzeszkowej;9:48:28
Centrum Kongresowe ICE;9:50:7
;
09:33 - 18 (Czerwone Maki - Krowodrza Górka);
Centrum Kongresowe ICE;9:33:1
Orzeszkowej;9:34:38
Stradom;9:35:33
Wawel;9:37:13
Świętej Gertrudy;9:38:39
Plac Wszystkich Świętych;9:39:52
Filharmonia;9:41:0
Teatr Bagatela;9:43:28
Basztowa LOT;9:45:29
Pędzichów;9:47:2
Nowy Kleparz;9:48:27
Dworzec Towarowy;9:50:10
;
09:36 - 52 (Czerwone Maki - Os.Piastów);
Centrum Kongresowe ICE;9:36:1
Orzeszkowej;9:37:39
Stradom;9:38:37
Starowiślna;9:41:55
Poczta Główna;9:42:54
Dworzec Główny;9:44:54
Lubicz;9:47:4
Rondo Mogilskie;9:49:39
Cystersów;9:51:45
;
